Position,Percentage,Method
1,0.453400752,FCM2 Full
2,0.03236737,FCM2 Full
3,0.837380264,FCM2 Full
4,0.837380264,FCM2 Full
5,0.837380264,FCM2 Full
6,0.837380264,FCM2 Full
7,0.837376674,FCM2 Full
8,0.837361985,FCM2 Full
9,0.832824013,FCM2 Full
10,0.767566441,FCM2 Full
11,0.588293935,FCM2 Full
12,0.45750985,FCM2 Full
13,0.374041352,FCM2 Full
14,0.406620052,FCM2 Full
15,0.426659565,FCM2 Full
16,0.438702089,FCM2 Full
17,0.444675315,FCM2 Full
18,0.447916128,FCM2 Full
19,0.448736654,FCM2 Full
20,0.449473259,FCM2 Full
21,0.448333446,FCM2 Full
22,0.4490368,FCM2 Full
23,0.449433896,FCM2 Full
24,0.450336259,FCM2 Full
25,0.449928913,FCM2 Full
26,0.448910184,FCM2 Full
27,0.449658362,FCM2 Full
28,0.449901274,FCM2 Full
29,0.450058147,FCM2 Full
30,0.449209,FCM2 Full
31,0.449542876,FCM2 Full
32,0.449453002,FCM2 Full
33,0.449652064,FCM2 Full
34,0.44977457,FCM2 Full
35,0.449522879,FCM2 Full
36,0.44973,FCM2 Full
37,0.450266938,FCM2 Full
38,0.449125001,FCM2 Full
39,0.450187056,FCM2 Full
40,0.449623122,FCM2 Full
41,0.449160524,FCM2 Full
42,0.450398656,FCM2 Full
43,0.449483795,FCM2 Full
44,0.449050114,FCM2 Full
45,0.449122912,FCM2 Full
46,0.450025382,FCM2 Full
47,0.450193122,FCM2 Full
48,0.449579279,FCM2 Full
49,0.44924334,FCM2 Full
50,0.449204151,FCM2 Full
51,0.450023425,FCM2 Full
52,0.449741342,FCM2 Full
53,0.448904203,FCM2 Full
54,0.449514819,FCM2 Full
55,0.450165187,FCM2 Full
56,0.449232828,FCM2 Full
57,0.449950263,FCM2 Full
58,0.45014586,FCM2 Full
59,0.449889106,FCM2 Full
60,0.449270717,FCM2 Full
61,0.449211956,FCM2 Full
62,0.449293657,FCM2 Full
63,0.450013506,FCM2 Full
64,0.449998964,FCM2 Full
