Position,Percentage,Method
1,0.434845102,FCM1 Full
2,0.032524709,FCM1 Full
3,0.788283962,FCM1 Full
4,0.788283962,FCM1 Full
5,0.788283962,FCM1 Full
6,0.788283962,FCM1 Full
7,0.788282135,FCM1 Full
8,0.788309259,FCM1 Full
9,0.784577008,FCM1 Full
10,0.727613605,FCM1 Full
11,0.563695912,FCM1 Full
12,0.446547461,FCM1 Full
13,0.366912276,FCM1 Full
14,0.399573622,FCM1 Full
15,0.419906515,FCM1 Full
16,0.432320002,FCM1 Full
17,0.43885787,FCM1 Full
18,0.44261889,FCM1 Full
19,0.443517831,FCM1 Full
20,0.444303814,FCM1 Full
21,0.443274206,FCM1 Full
22,0.443897043,FCM1 Full
23,0.444351159,FCM1 Full
24,0.445355689,FCM1 Full
25,0.445008819,FCM1 Full
26,0.443880866,FCM1 Full
27,0.444463002,FCM1 Full
28,0.444859767,FCM1 Full
29,0.445057481,FCM1 Full
30,0.44412396,FCM1 Full
31,0.444574468,FCM1 Full
32,0.444515127,FCM1 Full
33,0.444600939,FCM1 Full
34,0.444737584,FCM1 Full
35,0.44439032,FCM1 Full
36,0.444836628,FCM1 Full
37,0.445247403,FCM1 Full
38,0.444128909,FCM1 Full
39,0.445303588,FCM1 Full
40,0.444606472,FCM1 Full
41,0.444078437,FCM1 Full
42,0.445460877,FCM1 Full
43,0.444306739,FCM1 Full
44,0.443984144,FCM1 Full
45,0.444157665,FCM1 Full
46,0.445067449,FCM1 Full
47,0.4452393,FCM1 Full
48,0.444606327,FCM1 Full
49,0.444256796,FCM1 Full
50,0.444281661,FCM1 Full
51,0.44499756,FCM1 Full
52,0.444653208,FCM1 Full
53,0.44374916,FCM1 Full
54,0.444391582,FCM1 Full
55,0.445166604,FCM1 Full
56,0.444287136,FCM1 Full
57,0.444886501,FCM1 Full
58,0.445220681,FCM1 Full
59,0.444883654,FCM1 Full
60,0.444195223,FCM1 Full
61,0.444287371,FCM1 Full
62,0.444014846,FCM1 Full
63,0.445038815,FCM1 Full
64,0.444963292,FCM1 Full
