Position,Percentage,Method
1,0.047784278,FCM3 Xored
2,0.006802901,FCM3 Xored
3,0.006802901,FCM3 Xored
4,0.006802901,FCM3 Xored
5,0.006802901,FCM3 Xored
6,0.006802901,FCM3 Xored
7,0.006803878,FCM3 Xored
8,0.007043166,FCM3 Xored
9,0.009658696,FCM3 Xored
10,0.031823624,FCM3 Xored
11,0.048480417,FCM3 Xored
12,0.063383268,FCM3 Xored
13,0.074807252,FCM3 Xored
14,0.086181594,FCM3 Xored
15,0.098904552,FCM3 Xored
16,0.11265668,FCM3 Xored
17,0.122829794,FCM3 Xored
18,0.131690504,FCM3 Xored
19,0.132329634,FCM3 Xored
20,0.137387809,FCM3 Xored
21,0.138969923,FCM3 Xored
22,0.13800107,FCM3 Xored
23,0.145664964,FCM3 Xored
24,0.145528566,FCM3 Xored
25,0.146215471,FCM3 Xored
26,0.145369646,FCM3 Xored
27,0.147973757,FCM3 Xored
28,0.146169562,FCM3 Xored
29,0.143507391,FCM3 Xored
30,0.142603623,FCM3 Xored
31,0.144633511,FCM3 Xored
32,0.145975658,FCM3 Xored
33,0.14570618,FCM3 Xored
34,0.146659266,FCM3 Xored
35,0.144819693,FCM3 Xored
36,0.146221643,FCM3 Xored
37,0.145680024,FCM3 Xored
38,0.145020452,FCM3 Xored
39,0.144700458,FCM3 Xored
40,0.14469746,FCM3 Xored
41,0.143328241,FCM3 Xored
42,0.143014176,FCM3 Xored
43,0.146253734,FCM3 Xored
44,0.146829326,FCM3 Xored
45,0.144700582,FCM3 Xored
46,0.14241458,FCM3 Xored
47,0.142888617,FCM3 Xored
48,0.145600798,FCM3 Xored
49,0.148268831,FCM3 Xored
50,0.147272193,FCM3 Xored
51,0.146457063,FCM3 Xored
52,0.146798191,FCM3 Xored
53,0.14505632,FCM3 Xored
54,0.145436328,FCM3 Xored
55,0.14497138,FCM3 Xored
56,0.146893666,FCM3 Xored
57,0.143347483,FCM3 Xored
58,0.145543797,FCM3 Xored
59,0.144401913,FCM3 Xored
60,0.143672351,FCM3 Xored
61,0.14197106,FCM3 Xored
62,0.144246971,FCM3 Xored
63,0.145248874,FCM3 Xored
64,0.141741031,FCM3 Xored
