Position,Percentage,Method
1,0.052794406,FCM2 Xored
2,0.007186185,FCM2 Xored
3,0.00719182,FCM2 Xored
4,0.00719182,FCM2 Xored
5,0.00719182,FCM2 Xored
6,0.00719182,FCM2 Xored
7,0.00719344,FCM2 Xored
8,0.007409066,FCM2 Xored
9,0.011355638,FCM2 Xored
10,0.03781368,FCM2 Xored
11,0.060748363,FCM2 Xored
12,0.085889852,FCM2 Xored
13,0.100869063,FCM2 Xored
14,0.112345282,FCM2 Xored
15,0.129513532,FCM2 Xored
16,0.146604396,FCM2 Xored
17,0.159836393,FCM2 Xored
18,0.170152238,FCM2 Xored
19,0.173381531,FCM2 Xored
20,0.180335263,FCM2 Xored
21,0.183090751,FCM2 Xored
22,0.189832162,FCM2 Xored
23,0.199641206,FCM2 Xored
24,0.205145746,FCM2 Xored
25,0.204313754,FCM2 Xored
26,0.201411775,FCM2 Xored
27,0.205044858,FCM2 Xored
28,0.203832385,FCM2 Xored
29,0.202801278,FCM2 Xored
30,0.198848079,FCM2 Xored
31,0.20395108,FCM2 Xored
32,0.201796163,FCM2 Xored
33,0.201468734,FCM2 Xored
34,0.204675507,FCM2 Xored
35,0.20123926,FCM2 Xored
36,0.2026135,FCM2 Xored
37,0.204668243,FCM2 Xored
38,0.200095452,FCM2 Xored
39,0.202079358,FCM2 Xored
40,0.201550281,FCM2 Xored
41,0.197000921,FCM2 Xored
42,0.199912664,FCM2 Xored
43,0.202886715,FCM2 Xored
44,0.202024241,FCM2 Xored
45,0.20079914,FCM2 Xored
46,0.19901484,FCM2 Xored
47,0.19961478,FCM2 Xored
48,0.202322291,FCM2 Xored
49,0.20537382,FCM2 Xored
50,0.20436187,FCM2 Xored
51,0.206136736,FCM2 Xored
52,0.204277758,FCM2 Xored
53,0.199574554,FCM2 Xored
54,0.198544347,FCM2 Xored
55,0.202844927,FCM2 Xored
56,0.203005666,FCM2 Xored
57,0.200488269,FCM2 Xored
58,0.201755169,FCM2 Xored
59,0.204095396,FCM2 Xored
60,0.195118462,FCM2 Xored
61,0.195584603,FCM2 Xored
62,0.19898294,FCM2 Xored
63,0.202221191,FCM2 Xored
64,0.195368525,FCM2 Xored
