argonne,797,3599276.088,1,1.004361371,0.33,0.21,0.59,0.63
argonne,909,34281.79245,1,1.718472004,0.17,0.05,0.6,0.82
argonne,135,1.28E+08,0.005481329,1.003438001,0.89,0.87,0.81,0.86
argonne,307,37609.18697,1,1.000785238,0.38,0.23,0.54,0.58
argonne,763,342234.8879,1,1.004775952,0.33,0.25,0.58,0.62
argonne,551,2546.689104,1,1.850344674,0.14,0.06,0.53,0.75
argonne,61,954.1284282,1,1.355733868,0.3,0.13,0.72,0.85
argonne,1056,7545.431705,1,1.386788699,0.35,0.15,0.65,0.78
argonne,95,10872.35534,1,1.625879805,0.24,0.13,0.57,0.75
argonne,338,51778.61973,1,1.570358952,0.29,0.16,0.69,0.89
argonne,936,103674.3991,1,1.638211382,0.19,0.07,0.68,0.9
argonne,556,22636.33893,1,1.722613459,0.16,0.06,0.55,0.75
argonne,764,91457.74864,1,1.003773585,0.31,0.19,0.54,0.58
argonne,300,1.21E+07,1,1.002216967,0.36,0.24,0.54,0.58
argonne,132,7572.071852,0.004095133,1.006979695,0.79,0.77,0.71,0.77
argonne,59,Infinity,1,1.412325752,0.25,0.14,0.63,0.76
argonne,790,3635534.265,1,1.002892263,0.3,0.21,0.53,0.57
argonne,931,10492.12165,1,1.550185874,0.2,0.06,0.71,0.89
argonne,569,59068.28093,1,2.482957061,0.12,0.05,0.41,0.77
argonne,92,1234.459302,1,2.19248396,0.14,0.06,0.47,0.78
argonne,1051,9652.899736,1,1.217391304,0.29,0.17,0.66,0.78
argonne,66,73838.29327,1,1.481204134,0.26,0.11,0.62,0.78
argonne,336,58399.17748,1,1.747371495,0.32,0.12,0.6,0.83
argonne,938,24791.74362,1,1.638191738,0.19,0.07,0.68,0.87
argonne,104,31453.63656,1,1.648599158,0.23,0.11,0.58,0.77
argonne,560,570.5132234,1,1.820446735,0.16,0.06,0.55,0.79
argonne,752,13936.32523,1,1.005138746,0.31,0.2,0.54,0.59
argonne,594,2070.77109,1,1.908727515,0.16,0.06,0.53,0.78
argonne,1058,51203.93524,1,1.340168244,0.36,0.15,0.65,0.78
argonne,907,666.3169429,1,1.676378306,0.17,0.05,0.62,0.83
argonne,309,8879.875888,1,1.002291242,0.35,0.2,0.52,0.56
argonne,799,322190.9597,1,1.00501002,0.3,0.22,0.52,0.56
argonne,50,1803.702291,1,1.572896596,0.27,0.13,0.59,0.76
argonne,68,69649.36987,1,1.509010297,0.3,0.13,0.65,0.84
argonne,593,1969.686675,1,1.603413143,0.18,0.08,0.64,0.83
argonne,755,292038.4277,1,1.006699304,0.32,0.2,0.55,0.6
argonne,567,4891.063985,1,1.629955047,0.16,0.07,0.6,0.79
argonne,103,3400.7669,1,1.538091716,0.25,0.07,0.61,0.78
argonne,331,1059.196552,1,1.447266209,0.29,0.12,0.73,0.87
argonne,57,15901.32645,1,1.463101939,0.25,0.1,0.64,0.79
argonne,900,1358.63978,1,1.618832237,0.18,0.05,0.64,0.83
argonne,558,15904.89954,1,1.46861268,0.17,0.08,0.64,0.79
argonne,1034,3412.783944,1,1.611472814,0.31,0.16,0.57,0.79
argonne,168,3619.46741,0.013513514,1.004900588,0.91,0.9,0.85,0.89
argonne,954,3315.950946,1,1.424570912,0.28,0.14,0.62,0.77
argonne,391,2458.103062,1,1.599884638,0.29,0.14,0.65,0.84
argonne,533,74686.73304,1,1.746764347,0.17,0.07,0.58,0.81
argonne,701,33627.9032,0.003207698,1.002143623,0.78,0.7,0.7,0.76
argonne,365,Infinity,1,1.412325752,0.28,0.14,0.7,0.84
argonne,157,1966.240049,0.008189263,1.002851928,0.87,0.85,0.79,0.84
argonne,739,80885.47554,0.003001072,1.003010753,0.78,0.7,0.7,0.76
argonne,953,465.2791392,1,1.782021425,0.17,0.05,0.59,0.84
argonne,1033,Infinity,1,1.425099322,0.27,0.14,0.62,0.78
argonne,150,364072.1754,0.005119454,1.003138822,0.8,0.78,0.73,0.78
argonne,362,73693.69012,1,1.487771112,0.3,0.15,0.73,0.91
argonne,706,463355.34,0.003463803,1.005398816,0.85,0.75,0.75,0.82
argonne,534,Infinity,1,1.603970223,0.17,0.07,0.62,0.79
argonne,998,4081.194397,1,1.587565104,0.26,0.15,0.59,0.79
argonne,396,2011.047889,1,1.389232127,0.35,0.2,0.75,0.9
argonne,159,23692.50772,0.001333778,1.006714789,0.79,0.77,0.71,0.77
argonne,965,1192.277493,1,1.330513988,0.37,0.16,0.66,0.79
argonne,32,3950.557146,1,1.891239571,0.21,0.12,0.5,0.74
argonne,1005,2392692.26,1,1.42605156,0.33,0.16,0.64,0.79
argonne,991,4053.158242,1,1.384154176,0.37,0.19,0.64,0.79
argonne,730,34057.83408,0.004195621,1.002629503,0.87,0.81,0.79,0.85
argonne,502,89860.6763,1,1.004462791,0.43,0.29,0.74,0.81
argonne,166,5492.223767,0.004173623,1.004614094,0.81,0.72,0.72,0.79
argonne,354,57711.63577,1,1.646561772,0.34,0.14,0.64,0.85
argonne,192,23602.71058,0.005973052,1.004886221,0.81,0.79,0.73,0.79
argonne,996,2884.343143,1,1.715211755,0.23,0.12,0.54,0.76
argonne,398,3193.412964,1,2.562388592,0.14,0.05,0.46,0.85
