Dataset,Subset,Smoothness,Integer Percentage,Average Run Length,Gorilla CR,Sprintz CR,ToBinary CR,gzip CR,DFCMGorilla CR,DFCMSprintz CR
appended,InsectWingbeatSound,932169.2947,0,1,0.69,0.58,0.67,0.407520659,0.69,0.57
appended,MedicalImages,53659.05313,0,1,0.68,0.58,0.66,0.419854216,0.68,0.58
appended,Symbols,29094.03846,0,1.129347246,0.63,0.55,0.69,0.383303453,0.63,0.51
appended,ArrowHead,20551.39562,0,1.019615126,0.7,0.6,0.69,0.420912956,0.7,0.6
appended,ProximalPhalanxOutlineAgeGroup,67690.08853,0,1.212405737,0.58,0.51,0.68,0.365291884,0.58,0.52
appended,EOGHorizontalSignal,17002.48863,0,1.012483218,0.67,0.53,0.66,0.405167958,0.67,0.53
appended,TwoPatterns,781857.5371,0,1.525722783,0.45,0.42,0.66,0.302526482,0.45,0.46
appended,ChlorineConcentration,221384.8425,0,1.001102496,0.69,0.6,0.67,0.424321909,0.69,0.63
appended,Plane,136765.822,0,1,0.7,0.61,0.68,0.437527219,0.7,0.61
appended,ACSF1,1334869.712,0,1.061949928,0.63,0.56,0.65,0.169664537,0.63,0.62
appended,PhalangesOutlinesCorrect,13245.15801,0,1.124621107,0.63,0.55,0.68,0.386530466,0.63,0.56
appended,ShapeletSim,84125.65269,0,1,0.72,0.63,0.7,0.427268089,0.72,0.68
appended,DistalPhalanxOutlineAgeGroup,5005.571253,0,1.116589677,0.63,0.55,0.68,0.396670982,0.63,0.57
appended,InsectEPGSmallTrain,20852.59799,0,1.215434972,0.56,0.56,0.66,0.176215644,0.56,0.58
appended,PickupGestureWiimoteZ,2632.466314,0,1.000055408,0.68,0.58,0.66,0.439997093,0.68,0.58
appended,EOGVerticalSignal,62951.45334,0,1.006499443,0.67,0.54,0.65,0.411690883,0.67,0.53
appended,CricketZ,149260.2666,0,1,0.7,0.61,0.68,0.428461685,0.7,0.62
appended,FaceFour,435039.29,0,1.875814605,0.37,0.57,0.67,0.268302508,0.37,0.6
appended,RefrigerationDevices,83311.26088,0,2.676387787,0.26,0.31,0.65,0.038626086,0.26,0.36
appended,PLAID,1492331.694,0,1,0.67,0.58,0.65,0.428204249,0.67,0.58
appended,MixedShapesRegularTrain,175182.2051,0,1.000215494,0.72,0.6,0.7,0.426026825,0.72,0.57
appended,GunPoint,35271.6737,0,1.006756757,0.71,0.58,0.69,0.412257428,0.71,0.58
appended,DodgerLoopGame,75168.29813,3.52E-04,1.087687129,0.63,0.6,0.67,0.200606994,0.63,0.62
appended,ECG200,75371.31027,0,1,0.7,0.62,0.68,0.442644406,0.7,0.63
appended,ToeSegmentation2,4484.245018,0,1.000022428,0.7,0.6,0.67,0.420544392,0.7,0.6
appended,WordSynonyms,40793.35462,0,1.000029027,0.67,0.57,0.65,0.380254443,0.67,0.56
appended,Fungi,228298.8219,0,1,0.65,0.54,0.63,0.413252956,0.65,0.54
appended,BirdChicken,458.3184958,0,1.01577381,0.7,0.6,0.69,0.41644676,0.7,0.59
appended,SemgHandGenderCh2,2418804.414,0,1,0.67,0.6,0.65,0.432851653,0.67,0.63
appended,OliveOil,4439.427012,0,1.00011698,0.7,0.58,0.68,0.41976873,0.7,0.57
appended,BME,2486.560797,0,1.053211915,0.65,0.56,0.67,0.373344979,0.65,0.57
appended,LargeKitchenAppliances,4431054.616,0,5.538681183,0.12,0.13,0.62,0.022230764,0.12,0.13
appended,SonyAIBORobotSurface2,100392.256,0,1.287790275,0.52,0.57,0.65,0.213548779,0.52,0.62
appended,Lightning2,61969.96064,0,1.201100906,0.56,0.49,0.65,0.352819833,0.56,0.5
appended,EthanolLevel,1713996.847,0,1.004845761,0.67,0.52,0.65,0.40190755,0.67,0.52
appended,UWaveGestureLibraryX,292390.2893,0,1.361537171,0.52,0.46,0.68,0.325866405,0.52,0.44
appended,FreezerRegularTrain,3289149.677,0,1.000088602,0.74,0.56,0.72,0.342093761,0.74,0.57
appended,Fish,93602.06206,0,1,0.72,0.6,0.7,0.42573802,0.72,0.57
appended,ProximalPhalanxOutlineCorrect,12194.29194,0,1.268956119,0.56,0.49,0.68,0.350209737,0.56,0.5
appended,NonInvasiveFetalECGThorax2,3377289.199,0,1.014379942,0.69,0.58,0.68,0.414676168,0.69,0.58
appended,UWaveGestureLibraryY,31209.68105,0,1.475647731,0.48,0.43,0.68,0.302756551,0.48,0.42
appended,FaceAll,310610.7296,0,1.009608632,0.68,0.62,0.67,0.431032496,0.68,0.64
appended,StarLightCurves,187586.3598,1.19E-07,1.00467908,0.71,0.58,0.69,0.336157102,0.71,0.52
appended,ElectricDevices,6823357.666,0,2.271654872,0.3,0.32,0.64,0.085355723,0.3,0.34
appended,Earthquakes,339667.288,0,3.049012467,0.23,0.3,0.65,0.084496973,0.23,0.37
appended,PowerCons,4243.788842,0,1.140449685,0.59,0.57,0.65,0.306720892,0.59,0.59
appended,DiatomSizeReduction,17784.29668,0,1.003097623,0.71,0.6,0.7,0.421511647,0.71,0.57
appended,CinCECGTorso,293910.8372,0,1.053006524,0.67,0.58,0.68,0.351210013,0.67,0.59
appended,PigCVP,92304.63449,0,1.010525523,0.67,0.58,0.66,0.329195892,0.67,0.59
appended,ProximalPhalanxTW,30885.59912,0,1.169853046,0.6,0.52,0.68,0.377115042,0.6,0.53
argonne,797,3599276.088,1,1.004361371,0.21,0.59,0.63,0.268687285,,
argonne,909,34281.79245,1,1.718472004,0.05,0.6,0.82,0.058982903,,
argonne,135,1.28E+08,0.005481329,1.003438001,0.87,0.81,0.86,0.366652321,,
argonne,307,37609.18697,1,1.000785238,0.23,0.54,0.58,0.291759434,,
argonne,763,342234.8879,1,1.004775952,0.25,0.58,0.62,0.265739059,,
argonne,551,2546.689104,1,1.850344674,0.06,0.53,0.75,0.04390608,,
argonne,61,954.1284282,1,1.355733868,0.13,0.72,0.85,0.085391121,,
argonne,1056,7545.431705,1,1.386788699,0.15,0.65,0.78,0.094345935,,
argonne,95,10872.35534,1,1.625879805,0.13,0.57,0.75,0.068064456,,
argonne,338,51778.61973,1,1.570358952,0.16,0.69,0.89,0.078633762,,
argonne,936,103674.3991,1,1.638211382,0.07,0.68,0.9,0.065485094,,
argonne,556,22636.33893,1,1.722613459,0.06,0.55,0.75,0.052109763,,
argonne,764,91457.74864,1,1.003773585,0.19,0.54,0.58,0.274353422,,
argonne,300,1.21E+07,1,1.002216967,0.24,0.54,0.58,0.273816847,,
argonne,132,7572.071852,0.004095133,1.006979695,0.77,0.71,0.77,0.36445226,,
argonne,59,Infinity,1,1.412325752,0.14,0.63,0.76,0.066308992,,
argonne,790,3635534.265,1,1.002892263,0.21,0.53,0.57,0.271628542,,
argonne,931,10492.12165,1,1.550185874,0.06,0.71,0.89,0.065882228,,
argonne,569,59068.28093,1,2.482957061,0.05,0.41,0.77,0.041278592,,
argonne,92,1234.459302,1,2.19248396,0.06,0.47,0.78,0.047906374,,
argonne,1051,9652.899736,1,1.217391304,0.17,0.66,0.78,0.092674442,,
argonne,66,73838.29327,1,1.481204134,0.11,0.62,0.78,0.072480697,,
argonne,336,58399.17748,1,1.747371495,0.12,0.6,0.83,0.061525415,,
argonne,938,24791.74362,1,1.638191738,0.07,0.68,0.87,0.060528861,,
argonne,104,31453.63656,1,1.648599158,0.11,0.58,0.77,0.061212491,,
