appended,ShakeGestureWiimoteZ,2890.587244,0,1,0.68,0.68,0.58,0.66
appended,GesturePebbleZ1,7419.088818,0,1,0.66,0.66,0.56,0.64
appended,HandOutlines,2105528.523,9.98E-07,1.011917021,0.71,0.7,0.57,0.69
appended,GunPointMaleVersusFemale,21654.82306,0,1.002432112,0.67,0.67,0.55,0.66
appended,Coffee,779.3247533,0,1,0.71,0.71,0.6,0.69
appended,Rock,4931.27301,0,1.009950425,0.67,0.68,0.55,0.66
appended,MixedShapesSmallTrain,175182.2051,0,1.000215494,0.72,0.72,0.6,0.7
appended,AllGestureWiimoteZ,22938.70362,0,1.000008572,0.67,0.67,0.57,0.65
appended,FordB,1697804.227,0,1.000002469,0.71,0.71,0.62,0.69
appended,FiftyWords,129282.915,0,1,0.69,0.69,0.58,0.67
appended,InsectWingbeatSound,932169.2947,0,1,0.69,0.69,0.58,0.67
appended,MedicalImages,53659.05313,0,1,0.68,0.68,0.58,0.66
appended,Symbols,29094.03846,0,1.129347246,0.64,0.63,0.55,0.69
appended,ArrowHead,20551.39562,0,1.019615126,0.7,0.7,0.6,0.69
appended,ProximalPhalanxOutlineAgeGroup,67690.08853,0,1.212405737,0.58,0.58,0.51,0.68
appended,EOGHorizontalSignal,17002.48863,0,1.012483218,0.67,0.67,0.53,0.66
appended,TwoPatterns,781857.5371,0,1.525722783,0.48,0.45,0.42,0.66
appended,ChlorineConcentration,221384.8425,0,1.001102496,0.69,0.69,0.6,0.67
appended,Plane,136765.822,0,1,0.7,0.7,0.61,0.68
appended,ACSF1,1334869.712,0,1.061949928,0.61,0.63,0.56,0.65
appended,PhalangesOutlinesCorrect,13245.15801,0,1.124621107,0.63,0.63,0.55,0.68
appended,ShapeletSim,84125.65269,0,1,0.72,0.72,0.63,0.7
appended,DistalPhalanxOutlineAgeGroup,5005.571253,0,1.116589677,0.63,0.63,0.55,0.68
appended,InsectEPGSmallTrain,20852.59799,0,1.215434972,0.64,0.56,0.56,0.66
appended,PickupGestureWiimoteZ,2632.466314,0,1.000055408,0.68,0.68,0.58,0.66
appended,EOGVerticalSignal,62951.45334,0,1.006499443,0.67,0.67,0.54,0.65
appended,CricketZ,149260.2666,0,1,0.7,0.7,0.61,0.68
appended,FaceFour,435039.29,0,1.875814605,0.59,0.37,0.57,0.67
appended,RefrigerationDevices,83311.26088,0,2.676387787,0.33,0.26,0.31,0.65
appended,PLAID,1492331.694,0,1,0.67,0.67,0.58,0.65
appended,MixedShapesRegularTrain,175182.2051,0,1.000215494,0.72,0.72,0.6,0.7
appended,GunPoint,35271.6737,0,1.006756757,0.71,0.71,0.58,0.69
appended,DodgerLoopGame,75168.29813,3.52E-04,1.087687129,0.67,0.63,0.6,0.67
appended,ECG200,75371.31027,0,1,0.7,0.7,0.62,0.68
appended,ToeSegmentation2,4484.245018,0,1.000022428,0.68,0.7,0.6,0.67
appended,WordSynonyms,40793.35462,0,1.000029027,0.67,0.67,0.57,0.65
appended,Fungi,228298.8219,0,1,0.65,0.65,0.54,0.63
appended,BirdChicken,458.3184958,0,1.01577381,0.7,0.7,0.6,0.69
appended,SemgHandGenderCh2,2418804.414,0,1,0.67,0.67,0.6,0.65
appended,OliveOil,4439.427012,0,1.00011698,0.7,0.7,0.58,0.68
appended,BME,2486.560797,0,1.053211915,0.68,0.65,0.56,0.67
appended,LargeKitchenAppliances,4431054.616,0,5.538681183,0.13,0.12,0.13,0.62
appended,SonyAIBORobotSurface2,100392.256,0,1.287790275,0.61,0.52,0.57,0.65
appended,Lightning2,61969.96064,0,1.201100906,0.56,0.56,0.49,0.65
appended,EthanolLevel,1713996.847,0,1.004845761,0.67,0.67,0.52,0.65
appended,UWaveGestureLibraryX,292390.2893,0,1.361537171,0.54,0.52,0.46,0.68
appended,FreezerRegularTrain,3289149.677,0,1.000088602,0.74,0.74,0.56,0.72
appended,Fish,93602.06206,0,1,0.72,0.72,0.6,0.7
appended,ProximalPhalanxOutlineCorrect,12194.29194,0,1.268956119,0.56,0.56,0.49,0.68
appended,NonInvasiveFetalECGThorax2,3377289.199,0,1.014379942,0.69,0.69,0.58,0.68
appended,UWaveGestureLibraryY,31209.68105,0,1.475647731,0.51,0.48,0.43,0.68
appended,FaceAll,310610.7296,0,1.009608632,0.68,0.68,0.62,0.67
appended,StarLightCurves,187586.3598,1.19E-07,1.00467908,0.71,0.71,0.58,0.69
appended,ElectricDevices,6823357.666,0,2.271654872,0.34,0.3,0.32,0.64
appended,Earthquakes,339667.288,0,3.049012467,0.36,0.23,0.3,0.65
appended,PowerCons,4243.788842,0,1.140449685,0.61,0.59,0.57,0.65
appended,DiatomSizeReduction,17784.29668,0,1.003097623,0.72,0.71,0.6,0.7
appended,CinCECGTorso,293910.8372,0,1.053006524,0.69,0.67,0.58,0.68
appended,PigCVP,92304.63449,0,1.010525523,0.68,0.67,0.58,0.66
appended,ProximalPhalanxTW,30885.59912,0,1.169853046,0.6,0.6,0.52,0.68
,,,,,0.64,0.63,0.55,0.67
