Average nBits,Block Size
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.01459854,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.01459854,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.01459854,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.01459854,8
63.00729927,8
63.00729927,8
63.00729927,8
63.01459854,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.01459854,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.01459854,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.01459854,8
63.00729927,8
63.00729927,8
63,8
63.00729927,8
63.00729927,8
63.01459854,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.01459854,8
63.01459854,8
63.00729927,8
63.00729927,8
63.01459854,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.01459854,8
63.00729927,8
63,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63,8
63.01459854,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.01459854,8
63.00729927,8
63.00729927,8
63.00729927,8
63.01459854,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63.00729927,8
63,8
63,8
63,8
63,8
63,8
63,8
63,8
63,8
63,8
63,8
63,8
63,8
63,8
63,8
63,8
63.625,8
63,8
63,8
63.75,8
63,8
63.125,8
63,8
63,8
63.125,8
63,8
63,8
63,8
63,8
63,8
63,8
63,8
63,8
63.125,8
63.75,8
63,8
63,8
63,8
63,8
63,8
63,8
63,8
63.75,8
63,8
63.625,8
63,8
63,8
63,8
63.125,8
63,8
63,8
63,8
63.125,8
63.125,8
63.125,8
63,8
63.125,8
63.125,8
63.125,8
63.125,8
63,8
63,8
63,8
63.125,8
63.125,8
63,8
63.125,8
63.125,8
63,8
63.125,8
63.125,8
63,8
63,8
63,8
63.125,8
63.125,8
63.125,8
63.125,8
63,8
63.125,8
63,8
63.25,8
63.125,8
63.125,8
63,8
63,8
63.375,8
63.125,8
63.125,8
63.125,8
63,8
63.125,8
63.125,8
63,8
63,8
63.125,8
63.125,8
63.625,8
63.875,8
63,8
63.125,8
63,8
63,8
64,8
63,8
63.375,8
63.75,8
63.625,8
63.125,8
63,8
63.75,8
63.625,8
63.125,8
63,8
63,8
63,8
63,8
63,8
63,8
63,8
63.625,8
63.375,8
63.75,8
63,8
63.625,8
63,8
63,8
63.875,8
63.625,8
63.75,8
63,8
63.75,8
63,8
63,8
63.75,8
63.25,8
63.625,8
63,8
63,8
63.625,8
63.5,8
63,8
63,8
63.75,8
63.125,8
63,8
63,8
63,8
63,8
63,8
63,8
63,8
63.75,8
63,8
63,8
63.75,8
63,8
63,8
63,8
63,8
63,8
63.75,8
63,8
63,8
63.125,8
63,8
63,8
63,8
63,8
63,8
63,8
63.125,8
63,8
63,8
63,8
63.625,8
63,8
63,8
63,8
63.75,8
63.125,8
63.875,8
63,8
63,8
63,8
63,8
63,8
63.125,8
63,8
63,8
63,8
63,8
63.125,8
63,8
63.125,8
63.125,8
63.125,8
63.125,8
63,8
63,8
63,8
63,8
63,8
63.125,8
63,8
63.125,8
63.75,8
63.125,8
63.125,8
63.125,8
63.125,8
63,8
63.125,8
63.125,8
63,8
63.25,8
63.125,8
63.25,8
63.25,8
63.125,8
63,8
63.25,8
63,8
63.125,8
63.125,8
63,8
63.125,8
63,8
63,8
63,8
63,8
63.125,8
63.125,8
63.125,8
63,8
63,8
63,8
63.125,8
63.125,8
63,8
63,8
63,8
63.125,8
63,8
63.125,8
