Average nBits,Block Size
62.00456621,5
62.00456621,5
62.00456621,5
62.00456621,5
62.00456621,5
62.00456621,5
62.00456621,5
62.00456621,5
62.00456621,5
62.00456621,5
62.00913242,5
62.00456621,5
62.00456621,5
62.00456621,5
62.00456621,5
62.00456621,5
62.00456621,5
62.00456621,5
62.00456621,5
62.00913242,5
62.00456621,5
62.00913242,5
62.00456621,5
62.00456621,5
62.00456621,5
62.00456621,5
62.00456621,5
62.00456621,5
62.00456621,5
62.00913242,5
62,5
62.00456621,5
62.00913242,5
62.00456621,5
62.00456621,5
62.00456621,5
62.00456621,5
62.00456621,5
62.00456621,5
62.00913242,5
62.01369863,5
62.00456621,5
62.00456621,5
62.00456621,5
62.00913242,5
62.00913242,5
62.00913242,5
62.00456621,5
62.00456621,5
62.00913242,5
62.00913242,5
62.00456621,5
62.00456621,5
62.00913242,5
62.00456621,5
62.00913242,5
62.00456621,5
62.00913242,5
62.00456621,5
62.00456621,5
62.00913242,5
62.00913242,5
62.00913242,5
62.00913242,5
62.00456621,5
62.00913242,5
62.00913242,5
62.00913242,5
62.00456621,5
62.00913242,5
62.00456621,5
62.00913242,5
62.00913242,5
62.00456621,5
62.00913242,5
62.00456621,5
62.00456621,5
62.00913242,5
62.00456621,5
62.00456621,5
62.00913242,5
62.00456621,5
62.00456621,5
62.00913242,5
62.00913242,5
62.00456621,5
62.00456621,5
62.00456621,5
62.00913242,5
62,5
62.00913242,5
62.00456621,5
62.00913242,5
62.00913242,5
62.00913242,5
62.00456621,5
62,5
62.00456621,5
62.00913242,5
62.00456621,5
62.00913242,5
62.00456621,5
62.00456621,5
62,5
62.00913242,5
62.00913242,5
62.00913242,5
62.00913242,5
62.00456621,5
62.00456621,5
62.00456621,5
62.00456621,5
62.00913242,5
62.00456621,5
62.00456621,5
62.00456621,5
62.00456621,5
62.00913242,5
62.00913242,5
62.00456621,5
62.00913242,5
62.00456621,5
62.00456621,5
62.00913242,5
62.00456621,5
62.00913242,5
62.00456621,5
62.00456621,5
62.00456621,5
62.00913242,5
62.00913242,5
62.00913242,5
62.00913242,5
62.00913242,5
62.00913242,5
62.00913242,5
62,5
62.00456621,5
62.00913242,5
62.00913242,5
62.00456621,5
62.00456621,5
62.00456621,5
62.00913242,5
62.00456621,5
62.00456621,5
62.00913242,5
62.00456621,5
62.00456621,5
62.00456621,5
62.00913242,5
62.00456621,5
62.00913242,5
62.00456621,5
62.00456621,5
62.00456621,5
62.00456621,5
62.00456621,5
62.00456621,5
62.00456621,5
62.00456621,5
62.00456621,5
62.00456621,5
62.00913242,5
62.00913242,5
62.01369863,5
62.00913242,5
62.00913242,5
62.00913242,5
62.00913242,5
62.00913242,5
62.00913242,5
62.00456621,5
62.00456621,5
62.00913242,5
62.00913242,5
62.00456621,5
62.00456621,5
62.00913242,5
62.00456621,5
62.00456621,5
62.00456621,5
62.00456621,5
62.00913242,5
62.00456621,5
62,5
62.00456621,5
62.00913242,5
62.00456621,5
62.00456621,5
62.00913242,5
62.00913242,5
62.00456621,5
62,5
62.00913242,5
62.00456621,5
62.00456621,5
62.00456621,5
62.00456621,5
62.00913242,5
62.00456621,5
