Average nBits,Block Size
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.01098901,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.01098901,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.01098901,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.01098901,6
62.00549451,6
62.00549451,6
62.00549451,6
62.01098901,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.01098901,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.01098901,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.01098901,6
62.00549451,6
62.00549451,6
62,6
62.00549451,6
62.00549451,6
62.01098901,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
62.00549451,6
