Average nBits,Block Size
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.00732601,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.00732601,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.00732601,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.00732601,4
62.003663,4
62.003663,4
62.003663,4
62.00732601,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.00732601,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.00732601,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.00732601,4
62.003663,4
62.003663,4
62,4
62.003663,4
62.003663,4
62.00732601,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.00732601,4
62.00732601,4
62.003663,4
62.003663,4
62.00732601,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.00732601,4
62.003663,4
62,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62,4
62.00732601,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
62.003663,4
