Average nBits,Block Size
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.01282051,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.01282051,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.01282051,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.01282051,7
62.00641026,7
62.00641026,7
62.00641026,7
62.01282051,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.01282051,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.01282051,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.01282051,7
62.00641026,7
62.00641026,7
62,7
62.00641026,7
62.00641026,7
62.01282051,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
62.00641026,7
