Average nBits,Block Size
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00549451,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00549451,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00549451,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00549451,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00549451,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00549451,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00549451,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00549451,3
62.00274725,3
62.00274725,3
62,3
62.00274725,3
62.00274725,3
62.00549451,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00549451,3
62.00549451,3
62.00274725,3
62.00274725,3
62.00549451,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00549451,3
62.00274725,3
62,3
62.00549451,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62,3
62.00549451,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00549451,3
62.00549451,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00549451,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62.00274725,3
62,3
62,3
62,3
62,3
62,3
62,3
62,3
62,3
62,3
62,3
62,3
62,3
62,3
62,3
62,3
62.3,3
62,3
62,3
62.35,3
62,3
62.05,3
62,3
62,3
62.05,3
62,3
62,3
62,3
62,3
62,3
62,3
62,3
62,3
62.05,3
62.5,3
62,3
62,3
62,3
62,3
62,3
62,3
62,3
62.4,3
62,3
62.45,3
62,3
62,3
62,3
62.05,3
62,3
62,3
62,3
62.05,3
62.05,3
62.05,3
62,3
62.05,3
62.05,3
62.05,3
62.05,3
62,3
62,3
62,3
62.05,3
62.05,3
62,3
62.05,3
62.05,3
62,3
62.05,3
62.05,3
62,3
62,3
62,3
62.05,3
62.05,3
62.05,3
62.05,3
62,3
62.05,3
62,3
62.05,3
62.05,3
62.05,3
62,3
62,3
62.1,3
62.05,3
62.05,3
62.05,3
62,3
62.05,3
62.05,3
62,3
62,3
62.05,3
62.05,3
62.3,3
62.45,3
62,3
62.05,3
62,3
62,3
62.35,3
62,3
62.15,3
62.35,3
62.35,3
62.05,3
62,3
62.45,3
62.25,3
62.05,3
62,3
62,3
62,3
62,3
62,3
62,3
62,3
62.35,3
62.2,3
62.25,3
62,3
62.4,3
62,3
62,3
62.3,3
62.35,3
62.45,3
62,3
62.3,3
62,3
62,3
62.4,3
62.1,3
62.35,3
62,3
62,3
62.4,3
62.25,3
62,3
62,3
62.4,3
62.05,3
62,3
62,3
62,3
62,3
62,3
62,3
62,3
62.55,3
62,3
62,3
62.25,3
62,3
62,3
62,3
62,3
62,3
62.5,3
62,3
62,3
62.05,3
62,3
62,3
62,3
62,3
62,3
62,3
62.05,3
62,3
62,3
62,3
62.45,3
62,3
62,3
62,3
62.4,3
62.05,3
62.4,3
62,3
62,3
62,3
62,3
62,3
62.05,3
62,3
62,3
62,3
62,3
62.05,3
62,3
62.05,3
62.05,3
62.05,3
62.05,3
62,3
62,3
62,3
62,3
62,3
62.05,3
62,3
62.05,3
62.25,3
62.05,3
62.05,3
62.05,3
62.05,3
62,3
62.05,3
62.05,3
62,3
62.1,3
62.05,3
62.1,3
62.1,3
62.05,3
62,3
62.15,3
62,3
62.05,3
62.05,3
62,3
62.05,3
62,3
62,3
62,3
62,3
62.05,3
62.05,3
62.05,3
62,3
62,3
62,3
62.05,3
62.05,3
62,3
62,3
62,3
62.05,3
62,3
62.05,3
62,3
62,3
62,3
62,3
62.25,3
62,3
62,3
62,3
62.45,3
62,3
62.4,3
62,3
62.05,3
62.55,3
62,3
62.05,3
62.35,3
62.05,3
62.4,3
62,3
62.45,3
62,3
62.3,3
62,3
62.15,3
62.25,3
62.3,3
62.05,3
62.25,3
62,3
62.05,3
62.45,3
62,3
62.05,3
62,3
62,3
62.2,3
62.55,3
62,3
62,3
62,3
62.05,3
62.05,3
62.45,3
62,3
62.4,3
62.5,3
62,3
62.45,3
62.45,3
62.05,3
62,3
62.25,3
62,3
62.45,3
62,3
62,3
62,3
62,3
62,3
62,3
62,3
61.79333333,3
61.38,3
62,3
62.00333333,3
61.79333333,3
61.79666667,3
62,3
62,3
62,3
62,3
61.58666667,3
62,3
62,3
62.00333333,3
61.79333333,3
61.58666667,3
62,3
62.00333333,3
62,3
62,3
62,3
62,3
62.00333333,3
61.58666667,3
62,3
62,3
61.79333333,3
62,3
62,3
62,3
61.79333333,3
61.79666667,3
62,3
62,3
61.58666667,3
62,3
62,3
62.00333333,3
62,3
62,3
61.79333333,3
61.79666667,3
62,3
62,3
61.79333333,3
59.52,3
61.17333333,3
61.79333333,3
62,3
61.79333333,3
62,3
62,3
62,3
62,3
62.00333333,3
62,3
62,3
62.00333333,3
62,3
62,3
62,3
61.17666667,3
62.00333333,3
62,3
62,3
62,3
61.79333333,3
61.79333333,3
62,3
61.79333333,3
61.79333333,3
2.345833333,3
6.725,3
5.691666667,3
15.7625,3
2.858333333,3
0.779166667,3
8.016666667,3
9.045833333,3
40.3375,3
58.64583333,3
3.625,3
20.67916667,3
60.72916667,3
40.06666667,3
31.2625,3
46.42916667,3
2.85,3
2.85,3
43.66666667,3
1.308333333,3
30.75416667,3
57.60833333,3
39.55833333,3
1.820833333,3
40.85,3
16.54166667,3
56.8375,3
39.29583333,3
8.8,3
28.675,3
3.625,3
52.7,3
24.0375,3
63,3
27.12916667,3
60.45833333,3
4.654166667,3
51.4125,3
45.73333333,3
43.91666667,3
2.075,3
8.270833333,3
62,3
1.816666667,3
4.920833333,3
32.57083333,3
58.42083333,3
51.40833333,3
8.529166667,3
2.595833333,3
63,3
32.55,3
2.591666667,3
7.754166667,3
1.820833333,3
62.0125,3
56.575,3
3.108333333,3
13.18333333,3
61.25,3
30.48333333,3
61.50416667,3
57.35,3
3.625,3
5.170833333,3
33.33333333,3
62.01666667,3
61.75833333,3
2.083333333,3
13.70416667,3
62.00833333,3
61.75416667,3
60.19166667,3
0.783333333,3
61.225,3
2.079166667,3
58.90416667,3
54.76666667,3
59.41666667,3
7.758333333,3
57.35,3
2.358333333,3
53.74166667,3
60.45833333,3
60.725,3
61.75,3
62.02083333,3
61.75,3
61.49166667,3
55.80833333,3
60.19583333,3
2.883333333,3
58.38333333,3
2.620833333,3
57.86666667,3
6.720833333,3
56.575,3
56.57916667,3
10.3375,3
54.25833333,3
6.4875,3
17.57083333,3
2.333333333,3
18.0875,3
24.5625,3
21.9625,3
60.71666667,3
3.8875,3
6.979166667,3
57.875,3
31.52083333,3
61.75,3
8.025,3
59.42083333,3
15.25416667,3
22.99583333,3
0.2625,3
6.233333333,3
8.020833333,3
19.90416667,3
56.325,3
4.9125,3
18.6,3
7.241666667,3
40.5625,3
29.70833333,3
13.4375,3
0.783333333,3
11.37083333,3
2.079166667,3
3.375,3
18.34583333,3
1.041666667,3
39.52916667,3
0.783333333,3
16.79166667,3
13.97916667,3
42.7875,3
20.66666667,3
25.725,3
43.60416667,3
6.733333333,3
9.05,3
2.845833333,3
4.145833333,3
26.35416667,3
61.225,3
6.983333333,3
60.20416667,3
42.22083333,3
23.2625,3
39.85833333,3
19.63333333,3
17.05833333,3
40.55833333,3
14.4875,3
27.14583333,3
13.17916667,3
2.845833333,3
8.291666667,3
3.108333333,3
61.75416667,3
17.0625,3
63,3
60.45833333,3
17.07083333,3
28.94166667,3
60.46666667,3
49.875,3
46.2,3
51.425,3
45.99166667,3
14.20833333,3
59.17916667,3
21.95833333,3
29.9875,3
8.791666667,3
5.691666667,3
22.73333333,3
52.96666667,3
47.54166667,3
21.44166667,3
49.86666667,3
47.80416667,3
18.35,3
