Average nBits,Block Size
62.0018315,2
62.0018315,2
62.0018315,2
62.0018315,2
62.0018315,2
62.0018315,2
62.0018315,2
62.0018315,2
62.0018315,2
62.0018315,2
62.003663,2
62.0018315,2
62.0018315,2
62.0018315,2
62.0018315,2
62.0018315,2
62.0018315,2
62.0018315,2
62.0018315,2
62.003663,2
62.0018315,2
62.003663,2
62.0018315,2
62.0018315,2
62.0018315,2
62.0018315,2
62.0018315,2
62.0018315,2
62.0018315,2
62.003663,2
62,2
62.0018315,2
62.003663,2
62.0018315,2
62.0018315,2
62.0018315,2
62.0018315,2
62.0018315,2
62.0018315,2
62.003663,2
62.00549451,2
62.0018315,2
62.0018315,2
62.0018315,2
62.003663,2
62.003663,2
62.003663,2
62.0018315,2
62.0018315,2
62.003663,2
62.003663,2
62.0018315,2
62.0018315,2
62.003663,2
62.0018315,2
62.003663,2
62.0018315,2
62.003663,2
62.0018315,2
62.0018315,2
62.003663,2
62.003663,2
62.003663,2
62.003663,2
62.0018315,2
62.003663,2
62.003663,2
62.003663,2
62.0018315,2
62.003663,2
62.0018315,2
62.003663,2
62.003663,2
62.0018315,2
62.003663,2
62.0018315,2
62.0018315,2
62.003663,2
62.0018315,2
62.0018315,2
62.003663,2
62.0018315,2
62.0018315,2
62.003663,2
62.003663,2
62.0018315,2
62.0018315,2
62.0018315,2
62.003663,2
62,2
62.003663,2
62.0018315,2
62.003663,2
62.003663,2
62.003663,2
62.0018315,2
62,2
62.0018315,2
62.003663,2
62.0018315,2
62.003663,2
62.0018315,2
62.0018315,2
62,2
62.003663,2
62.003663,2
62.003663,2
62.003663,2
62.0018315,2
62.0018315,2
62.0018315,2
62.0018315,2
62.003663,2
62.0018315,2
62.0018315,2
62.0018315,2
62.0018315,2
62.003663,2
62.003663,2
62.0018315,2
62.003663,2
62.0018315,2
62.0018315,2
62.003663,2
62.0018315,2
62.003663,2
62.0018315,2
62.0018315,2
62.0018315,2
62.003663,2
62.003663,2
62.003663,2
62.003663,2
62.003663,2
62.003663,2
62.003663,2
62,2
62.0018315,2
62.003663,2
62.003663,2
62.0018315,2
62.0018315,2
62.0018315,2
62.003663,2
62.0018315,2
62.0018315,2
62.003663,2
62.0018315,2
62.0018315,2
62.0018315,2
62.003663,2
62.0018315,2
62.003663,2
62.0018315,2
62.0018315,2
62.0018315,2
62.0018315,2
62.0018315,2
62.0018315,2
62.0018315,2
62.0018315,2
62.0018315,2
62.0018315,2
62.003663,2
62.003663,2
62.00549451,2
62.003663,2
62.003663,2
62.003663,2
62.003663,2
62.003663,2
62.003663,2
62.0018315,2
62.0018315,2
62.003663,2
62.003663,2
62.0018315,2
62.0018315,2
62.003663,2
62.0018315,2
62.0018315,2
62.0018315,2
62.0018315,2
62.003663,2
62.0018315,2
62,2
62.0018315,2
62.003663,2
62.0018315,2
62.0018315,2
62.003663,2
62.003663,2
62.0018315,2
62,2
62.003663,2
62.0018315,2
62.0018315,2
62.0018315,2
62.0018315,2
62.003663,2
62.0018315,2
62,2
62.003663,2
62.0018315,2
62.003663,2
62.003663,2
62.0018315,2
62.003663,2
62.0018315,2
62.0018315,2
62.0018315,2
62.003663,2
62.0018315,2
62.0018315,2
62.003663,2
62.0018315,2
62.0018315,2
62.0018315,2
62.0018315,2
62.0018315,2
62.0018315,2
62.0018315,2
62.0018315,2
62.0018315,2
62.0018315,2
62.0018315,2
62.003663,2
62.0018315,2
62.0018315,2
62.003663,2
62.003663,2
62.0018315,2
62.0018315,2
62.0018315,2
62.0018315,2
62.0018315,2
62.0018315,2
62.003663,2
62.00549451,2
62.003663,2
62.0018315,2
62.003663,2
62.00549451,2
62.003663,2
62.003663,2
62.003663,2
62.0018315,2
62.0018315,2
62.0018315,2
62.0018315,2
62.003663,2
62.003663,2
62.0018315,2
62.0018315,2
62.0018315,2
62.0018315,2
62,2
62.0018315,2
62.0018315,2
62.0018315,2
62.003663,2
62.0018315,2
62.0018315,2
62.0018315,2
62.0018315,2
62.003663,2
62.0018315,2
62.0018315,2
62.0018315,2
62.003663,2
62.003663,2
62.0018315,2
62.003663,2
62.0018315,2
62.0018315,2
62.003663,2
62.003663,2
62.0018315,2
62.0018315,2
62.0018315,2
62.003663,2
62.0018315,2
62.0018315,2
62.003663,2
62.0018315,2
62.003663,2
62.003663,2
62.003663,2
62.0018315,2
62.0018315,2
62.0018315,2
62.0018315,2
62.0018315,2
62.0018315,2
62.003663,2
62.003663,2
62.0018315,2
62.003663,2
62.0018315,2
62.0018315,2
62,2
62.003663,2
62.003663,2
62.003663,2
62.0018315,2
62.0018315,2
62.003663,2
62.0018315,2
62,2
62,2
62,2
62,2
62,2
62,2
62,2
62,2
62,2
62,2
62,2
62,2
62,2
62,2
62,2
62.2,2
62,2
62,2
62.26666667,2
62,2
62.03333333,2
62,2
62,2
62.03333333,2
62,2
62,2
62,2
62,2
62,2
62,2
62,2
62,2
62.03333333,2
62.26666667,2
62,2
62,2
62,2
62,2
62,2
62,2
62,2
62.3,2
62,2
62.3,2
62,2
62,2
62,2
62.03333333,2
62,2
62,2
62,2
62.03333333,2
62.03333333,2
62.03333333,2
62,2
62.03333333,2
62.03333333,2
62.03333333,2
62.03333333,2
62,2
62,2
62,2
62.03333333,2
62.03333333,2
62,2
62.03333333,2
62.03333333,2
62,2
62.03333333,2
62.03333333,2
62,2
62,2
62,2
62.03333333,2
62.03333333,2
62.03333333,2
62.03333333,2
62,2
62.03333333,2
62,2
62.03333333,2
62.03333333,2
62.03333333,2
62,2
62,2
62.06666667,2
62.03333333,2
62.03333333,2
62.03333333,2
62,2
62.03333333,2
62.03333333,2
62,2
62,2
62.03333333,2
62.03333333,2
62.2,2
62.33333333,2
62,2
62.03333333,2
62,2
62,2
62.4,2
62,2
62.1,2
62.3,2
62.23333333,2
62.03333333,2
62,2
62.36666667,2
62.16666667,2
62.03333333,2
62,2
62,2
62,2
62,2
62,2
62,2
62,2
62.26666667,2
62.13333333,2
62.2,2
62,2
62.33333333,2
62,2
62,2
62.2,2
62.26666667,2
62.33333333,2
62,2
62.23333333,2
62,2
62,2
62.26666667,2
62.06666667,2
62.23333333,2
62,2
62,2
62.26666667,2
62.16666667,2
62,2
62,2
62.3,2
62.03333333,2
62,2
62,2
62,2
62,2
62,2
62,2
62,2
62.36666667,2
62,2
62,2
62.2,2
62,2
62,2
62,2
62,2
62,2
62.33333333,2
62,2
62,2
62.03333333,2
62,2
62,2
62,2
62,2
62,2
62,2
62.03333333,2
62,2
62,2
62,2
62.33333333,2
62,2
62,2
62,2
62.26666667,2
62.03333333,2
62.3,2
62,2
62,2
62,2
62,2
62,2
62.03333333,2
62,2
62,2
62,2
62,2
62.03333333,2
62,2
62.03333333,2
62.03333333,2
62.03333333,2
62.03333333,2
62,2
62,2
62,2
62,2
62,2
62.03333333,2
62,2
62.03333333,2
62.16666667,2
62.03333333,2
62.03333333,2
62.03333333,2
62.03333333,2
62,2
62.03333333,2
62.03333333,2
62,2
62.06666667,2
62.03333333,2
62.06666667,2
62.06666667,2
62.03333333,2
62,2
62.1,2
62,2
62.03333333,2
62.03333333,2
62,2
62.03333333,2
62,2
62,2
62,2
62,2
62.03333333,2
62.03333333,2
62.03333333,2
62,2
62,2
62,2
62.03333333,2
62.03333333,2
62,2
62,2
62,2
62.03333333,2
62,2
62.03333333,2
62,2
62,2
62,2
62,2
62.2,2
62,2
62,2
62,2
62.33333333,2
62,2
62.26666667,2
62,2
62.03333333,2
62.4,2
62,2
62.03333333,2
62.26666667,2
62.03333333,2
62.26666667,2
62,2
62.33333333,2
62,2
62.33333333,2
62,2
62.1,2
62.16666667,2
62.2,2
62.03333333,2
62.16666667,2
62,2
62.03333333,2
62.26666667,2
62,2
62.03333333,2
62,2
62,2
62.16666667,2
62.4,2
62,2
62,2
62,2
62.03333333,2
62.03333333,2
62.36666667,2
62,2
62.26666667,2
62.33333333,2
62,2
62.3,2
62.26666667,2
62.03333333,2
62,2
62.16666667,2
62,2
62.33333333,2
62,2
61.72444444,2
61.31111111,2
62,2
62,2
62,2
61.86222222,2
61.72444444,2
60.76,2
62,2
62.00222222,2
61.44888889,2
61.31333333,2
61.86222222,2
62,2
62,2
62,2
61.03555556,2
62,2
61.86222222,2
61.72666667,2
61.58666667,2
61.17333333,2
62,2
62.00222222,2
62,2
61.72444444,2
61.86222222,2
61.86222222,2
61.86444444,2
61.17333333,2
61.86222222,2
61.72444444,2
61.72444444,2
62,2
61.72444444,2
61.86222222,2
61.44888889,2
61.03777778,2
61.58666667,2
61.86222222,2
61.44888889,2
61.58666667,2
62,2
61.72666667,2
61.86222222,2
61.44888889,2
61.44888889,2
61.31333333,2
62,2
61.86222222,2
60.89777778,2
57.59111111,2
59.52,2
61.44888889,2
61.86222222,2
61.31111111,2
61.86222222,2
62,2
62,2
61.72444444,2
61.45111111,2
61.72444444,2
61.86222222,2
61.72666667,2
61.72444444,2
61.17333333,2
61.58666667,2
60.21111111,2
62.00222222,2
62,2
61.86222222,2
61.86222222,2
61.44888889,2
61.31111111,2
61.72444444,2
61.44888889,2
61.72444444,2
1.908333333,2
5.344444444,2
5.172222222,2
13.26388889,2
2.25,2
0.519444444,2
6.894444444,2
8.269444444,2
29.30277778,2
57.00833333,2
3.277777778,2
19.81388889,2
60.11944444,2
30.5,2
30.48611111,2
35.09444444,2
2.247222222,2
2.072222222,2
28.76666667,2
1.561111111,2
24.80833333,2
55.11111111,2
31.02222222,2
1.386111111,2
32.57222222,2
13.43888889,2
50.98055556,2
29.98611111,2
7.072222222,2
28.41666667,2
3.277777778,2
52.35555556,2
20.84722222,2
63,2
25.83611111,2
60.28333333,2
3.963888889,2
39.61388889,2
33.93333333,2
41.50555556,2
1.727777778,2
7.408333333,2
62,2
1.383333333,2
3.969444444,2
23.78055556,2
56.85833333,2
48.91111111,2
7.408333333,2
1.733333333,2
