File Name,File Size (mb),Compression Throughput (mb/s),Decompression Throughput (mb/s),Compression Ratio,Method
SonyAIBORobotSurface2,0.73,14.84,47.26,0.65,FCM
Lightning2,0.46,26.93,37.06,0.65,FCM
EthanolLevel,10.23,39.5,43.94,0.65,FCM
UWaveGestureLibraryX,12.68,36.12,61.49,0.68,FCM
FreezerRegularTrain,9.1,34.45,62.33,0.72,FCM
Fish,0.89,34.14,61.82,0.7,FCM
ProximalPhalanxOutlineCorrect,0.26,37.37,59.2,0.68,FCM
NonInvasiveFetalECGThorax2,16.57,26.22,61.78,0.68,FCM
UWaveGestureLibraryY,12.71,37.6,64.73,0.68,FCM
FaceAll,2.54,36.24,62.56,0.67,FCM
StarLightCurves,92.7,35.6,61.99,0.69,FCM
ElectricDevices,8.81,34.83,67.23,0.64,FCM
Earthquakes,0.84,34.86,49.36,0.65,FCM
PowerCons,0.31,30.59,65.92,0.65,FCM
DiatomSizeReduction,1.16,38.64,57.53,0.69,FCM
CinCECGTorso,25.4,36.55,63.21,0.68,FCM
PigCVP,4.83,32.88,64.77,0.66,FCM
ProximalPhalanxTW,0.18,26.34,62.56,0.68,FCM
,4.847401575,33.32220472,61.24858268,0.66992126,
