File Name,Compression Throughput (mb/s),Decompression Throughput (mb/s),Compression Ratio,Method
UWaveGestureLibraryX,89.27,160.78,0.44,SprintzRef
FreezerRegularTrain,88.05,99.46,0.57,SprintzRef
Fish,87.98,97.33,0.57,SprintzRef
ProximalPhalanxOutlineCorrect,123.49,212.96,0.5,SprintzRef
NonInvasiveFetalECGThorax2,58.78,57.06,0.58,SprintzRef
UWaveGestureLibraryY,112.86,121.54,0.42,SprintzRef
FaceAll,86.87,165.48,0.64,SprintzRef
StarLightCurves,98.48,80.54,0.52,SprintzRef
ElectricDevices,141.26,259.96,0.34,SprintzRef
Earthquakes,135.76,217.76,0.37,SprintzRef
PowerCons,107.13,167.99,0.59,SprintzRef
DiatomSizeReduction,125.37,171.42,0.57,SprintzRef
CinCECGTorso,114.53,150.78,0.59,SprintzRef
PigCVP,109.11,122.17,0.59,SprintzRef
ProximalPhalanxTW,142.09,179.99,0.53,SprintzRef
Average,93,141,0.56,SprintzRef
