Method,Compression Throughput (mb/s),Decompression Throuhgput (mb/s),CR
DFCM,66,87,0.77
DFCMGorilla,21,20,0.44
FCM,74,102,0.77
FCMGorilla,23,22,0.4
Gorilla,38,44,0.34
GorillaRef,171,126,0.28
Sprintz,22,9,0.63
SprintzRef,68,93,0.7
ToBinary,440,1043,0.77
ToInt,28,18,0.44
gzip9,4,12,0.19
