File Name,Compression Throughput (mb/s),Decompression Throughput (mb/s),Compression Ratio,Method
1032,16.91,24.82,0.37,FCMGorilla
738,10.32,10.18,0.86,FCMGorilla
952,36.49,43.58,0.17,FCMGorilla
397,16.73,25.29,0.28,FCMGorilla
999,17.67,15.22,0.36,FCMGorilla
363,21.15,21.23,0.27,FCMGorilla
151,12.88,11.38,0.78,FCMGorilla
535,28.17,41.54,0.17,FCMGorilla
707,10.58,7.24,0.81,FCMGorilla
955,21.72,24.29,0.33,FCMGorilla
169,10.9,10.8,0.87,FCMGorilla
1035,8.33,15.18,0.33,FCMGorilla
700,11.9,13.36,0.81,FCMGorilla
532,24.39,33.09,0.17,FCMGorilla
156,9.29,6.44,0.9,FCMGorilla
364,16.54,14.99,0.34,FCMGorilla
390,31.67,34.16,0.23,FCMGorilla
686,11.89,13.3,0.82,FCMGorilla
818,25.85,17.95,0.3,FCMGorilla
216,18.21,14.3,0.34,FCMGorilla
672,8.8,12.19,0.88,FCMGorilla
440,16.56,11.91,0.43,FCMGorilla
229,15.09,12.04,0.37,FCMGorilla
827,25.65,26.4,0.31,FCMGorilla
447,17.03,19.89,0.43,FCMGorilla
675,5.89,8.01,0.92,FCMGorilla
211,6.01,5.73,0.88,FCMGorilla
681,5.03,7.75,0.87,FCMGorilla
820,15.44,11.68,0.3,FCMGorilla
478,10.98,6.88,0.43,FCMGorilla
227,15.67,13.54,0.32,FCMGorilla
829,13.38,12.65,0.3,FCMGorilla
471,10.25,12.93,0.42,FCMGorilla
643,8.03,8.18,0.79,FCMGorilla
485,6.55,8.1,0.42,FCMGorilla
816,14.57,18.9,0.33,FCMGorilla
218,11.94,9.88,0.4,FCMGorilla
688,7.07,9.1,0.84,FCMGorilla
482,10.79,13.55,0.44,FCMGorilla
644,5.5,7.75,0.87,FCMGorilla
476,14.71,15.38,0.42,FCMGorilla
220,11.65,10.02,0.41,FCMGorilla
811,11.73,8.96,0.31,FCMGorilla
449,15.09,11.22,0.43,FCMGorilla
845,11.22,12.37,0.3,FCMGorilla
280,10.48,16.49,0.4,FCMGorilla
422,25.26,25.91,0.24,FCMGorilla
610,19.12,16.77,0.14,FCMGorilla
274,14.43,14.34,0.4,FCMGorilla
628,17.46,19.53,0.15,FCMGorilla
842,11.07,17.01,0.33,FCMGorilla
273,8.71,9.44,0.41,FCMGorilla
617,34.68,20.38,0.13,FCMGorilla
425,10.64,7.99,0.43,FCMGorilla
889,14.21,5.21,0.17,FCMGorilla
287,19.58,14.16,0.34,FCMGorilla
874,31.72,39.44,0.08,FCMGorilla
880,42.92,47.44,0.14,FCMGorilla
621,33.52,48.21,0.14,FCMGorilla
413,30.65,15.15,0.34,FCMGorilla
245,11.6,24.96,0.31,FCMGorilla
887,24.23,19.01,0.18,FCMGorilla
289,23.29,24.99,0.32,FCMGorilla
619,30.44,41.24,0.16,FCMGorilla
873,37.48,42.48,0.18,FCMGorilla
242,22.64,24.94,0.33,FCMGorilla
414,23.61,16.6,0.29,FCMGorilla
626,28.52,28.39,0.15,FCMGorilla
477,12.04,11.08,0.43,FCMGorilla
645,12.02,13.03,0.82,FCMGorilla
221,21.53,24.65,0.38,FCMGorilla
483,12.3,12.3,0.46,FCMGorilla
810,22.53,26.15,0.34,FCMGorilla
448,19.85,20.89,0.43,FCMGorilla
484,11.9,10.57,0.44,FCMGorilla
828,14.92,26.84,0.32,FCMGorilla
226,21.34,23.76,0.39,FCMGorilla
642,7.39,7.97,0.78,FCMGorilla
470,16.06,12.98,0.42,FCMGorilla
689,9.89,11.8,0.78,FCMGorilla
219,23.18,19.34,0.35,FCMGorilla
817,20.29,13.72,0.3,FCMGorilla
680,7.54,8.96,0.86,FCMGorilla
674,10.09,10.73,0.9,FCMGorilla
446,12.16,10.63,0.43,FCMGorilla
210,9.69,9.42,0.81,FCMGorilla
821,24.87,21.9,0.31,FCMGorilla
479,11.89,12.34,0.43,FCMGorilla
217,14.45,4.88,0.34,FCMGorilla
819,11.55,8.75,0.32,FCMGorilla
441,7.9,9.87,0.43,FCMGorilla
673,9.42,7.47,0.83,FCMGorilla
687,7.85,6.09,0.87,FCMGorilla
826,19.29,18.01,0.3,FCMGorilla
228,18.58,20.06,0.37,FCMGorilla
618,31.43,34.79,0.08,FCMGorilla
872,29.39,22.09,0.19,FCMGorilla
288,11.12,22.71,0.31,FCMGorilla
886,42.39,40.18,0.17,FCMGorilla
243,25.51,19.73,0.37,FCMGorilla
627,21.82,25.38,0.15,FCMGorilla
415,20.22,13.92,0.36,FCMGorilla
881,31.65,18.18,0.21,FCMGorilla
875,21.02,36.12,0.18,FCMGorilla
412,39.22,25.24,0.22,FCMGorilla
620,34.48,24.44,0.16,FCMGorilla
244,17.16,10.73,0.39,FCMGorilla
