File Name,Compression Throughput (mb/s),Decompression Throughput (mb/s),Compression Ratio,Method
151,108.26,142.8,0.71,SprintzRef
535,53.64,77.88,0.62,SprintzRef
707,55.35,72.32,0.73,SprintzRef
955,69.77,144.22,0.66,SprintzRef
169,92.84,128.47,0.8,SprintzRef
1035,78.98,142.24,0.67,SprintzRef
700,95.02,105.03,0.73,SprintzRef
532,112.72,144.66,0.64,SprintzRef
156,85.72,119.58,0.84,SprintzRef
364,63.13,111.1,0.7,SprintzRef
390,95.34,138.55,0.64,SprintzRef
686,70.65,105.98,0.73,SprintzRef
818,70.25,64.33,0.53,SprintzRef
216,85.9,98.59,0.53,SprintzRef
672,36.49,114.13,0.79,SprintzRef
440,97.64,134.09,0.75,SprintzRef
229,90.55,117.17,0.55,SprintzRef
827,113.52,164.17,0.55,SprintzRef
447,66.73,106.94,0.74,SprintzRef
675,47.03,62.89,0.82,SprintzRef
211,53.47,66.88,0.81,SprintzRef
681,103.05,141.91,0.79,SprintzRef
820,140.03,199.55,0.53,SprintzRef
478,101.08,144.48,0.74,SprintzRef
227,95.54,126.25,0.54,SprintzRef
829,145.09,188.71,0.52,SprintzRef
471,96.38,121.22,0.73,SprintzRef
643,97.65,139.28,0.7,SprintzRef
485,79.68,129.25,0.73,SprintzRef
816,61.28,91.25,0.58,SprintzRef
218,110.12,174.07,0.57,SprintzRef
688,60.35,49.29,0.74,SprintzRef
482,86.88,92.6,0.76,SprintzRef
644,94.34,139.91,0.78,SprintzRef
476,83.99,98.93,0.73,SprintzRef
220,144.02,137.95,0.59,SprintzRef
811,137.11,174.55,0.55,SprintzRef
449,101.1,131.28,0.75,SprintzRef
845,159.16,202.64,0.52,SprintzRef
280,80.13,87.97,0.56,SprintzRef
422,62.69,12.1,0.57,SprintzRef
610,134.82,173.75,0.51,SprintzRef
274,142.44,168.54,0.57,SprintzRef
628,105.2,33.9,0.56,SprintzRef
842,92.87,82.42,0.58,SprintzRef
273,144.14,189.41,0.58,SprintzRef
617,68.8,105.22,0.48,SprintzRef
425,60.67,71.1,0.74,SprintzRef
889,111.98,152.03,0.6,SprintzRef
287,89.55,123.97,0.54,SprintzRef
874,147.79,271.46,0.22,SprintzRef
880,121.83,177.22,0.45,SprintzRef
621,120.78,173.75,0.49,SprintzRef
413,103.97,139.36,0.68,SprintzRef
245,131.91,161.29,0.54,SprintzRef
887,81.64,120.11,0.62,SprintzRef
289,51.5,62.28,0.54,SprintzRef
619,67.53,89.42,0.58,SprintzRef
873,43.82,75.29,0.67,SprintzRef
242,131.05,183.37,0.54,SprintzRef
414,32.71,62.04,0.71,SprintzRef
626,97.79,157.57,0.53,SprintzRef
477,103.37,144.68,0.75,SprintzRef
645,108.12,141.48,0.74,SprintzRef
221,142.79,197.16,0.54,SprintzRef
483,99.96,139.52,0.78,SprintzRef
810,111.92,167.93,0.6,SprintzRef
448,60.18,66.78,0.74,SprintzRef
484,56.7,69.77,0.78,SprintzRef
828,62.59,42.38,0.56,SprintzRef
226,138.69,193.56,0.58,SprintzRef
642,54.46,49.09,0.7,SprintzRef
470,53.99,70.84,0.73,SprintzRef
689,67.2,93.78,0.69,SprintzRef
219,90.52,140.94,0.55,SprintzRef
817,62.83,78.87,0.52,SprintzRef
680,54.31,60.13,0.77,SprintzRef
674,52.66,69.23,0.81,SprintzRef
446,95.98,111.39,0.76,SprintzRef
210,99.79,107.18,0.74,SprintzRef
821,48.83,91.24,0.53,SprintzRef
479,92.56,134.25,0.74,SprintzRef
217,111.06,145.53,0.55,SprintzRef
819,100.05,134.28,0.55,SprintzRef
441,55.94,70.81,0.73,SprintzRef
673,59.92,63.06,0.74,SprintzRef
687,56.66,69.56,0.78,SprintzRef
826,98.89,173.3,0.53,SprintzRef
228,94.44,144.89,0.55,SprintzRef
618,152.67,296.27,0.25,SprintzRef
872,112.88,153.75,0.66,SprintzRef
288,144.42,199.64,0.54,SprintzRef
886,119.59,158.44,0.63,SprintzRef
243,64.37,58.49,0.56,SprintzRef
627,105.3,171.01,0.52,SprintzRef
415,79.84,109.56,0.68,SprintzRef
881,68.14,106.83,0.73,SprintzRef
875,70.06,62.08,0.63,SprintzRef
412,64.71,81.2,0.54,SprintzRef
620,64.47,82.89,0.55,SprintzRef
244,122.12,167.1,0.6,SprintzRef
629,119.6,159.33,0.58,SprintzRef
843,142.04,183.65,0.53,SprintzRef
286,72.96,90.72,0.6,SprintzRef
888,103.42,148.42,0.6,SprintzRef
272,113.96,147.9,0.52,SprintzRef
424,40.13,74.37,0.71,SprintzRef
616,80.8,130.75,0.56,SprintzRef
844,89.95,148.34,0.55,SprintzRef
611,71.83,116.28,0.57,SprintzRef
423,61.94,120.72,0.65,SprintzRef
275,139.26,205.28,0.54,SprintzRef
281,89.6,78.58,0.53,SprintzRef
257,64.77,76.66,0.55,SprintzRef
859,64.34,107.7,0.54,SprintzRef
401,68.65,110.67,0.7,SprintzRef
633,51.86,78.3,0.58,SprintzRef
866,122.62,166.88,0.51,SprintzRef
268,92.82,190.1,0.58,SprintzRef
892,106.87,161.71,0.59,SprintzRef
