File Name,Compression Throughput (mb/s),Decompression Throughput (mb/s),Compression Ratio,Method
169,395.95,933.15,0.84,ToBinary
1035,527.75,1066.06,0.78,ToBinary
700,517.61,1264.52,0.78,ToBinary
532,418.74,972.68,0.79,ToBinary
156,511.68,1179.93,0.88,ToBinary
364,235.25,593.46,0.9,ToBinary
390,336.0,692.28,0.84,ToBinary
686,340.34,646.76,0.8,ToBinary
818,492.6,960.65,0.57,ToBinary
216,459.96,1093.19,0.57,ToBinary
672,527.15,1258.91,0.86,ToBinary
440,331.12,692.27,0.82,ToBinary
229,670.64,1638.25,0.6,ToBinary
827,620.06,1542.62,0.59,ToBinary
447,404.42,990.08,0.81,ToBinary
675,507.64,1185.43,0.9,ToBinary
211,394.31,934.97,0.86,ToBinary
681,534.24,1251.99,0.85,ToBinary
820,502.58,955.79,0.57,ToBinary
478,419.58,776.18,0.81,ToBinary
227,764.62,1783.84,0.58,ToBinary
829,778.61,1768.34,0.56,ToBinary
471,496.74,1060.13,0.8,ToBinary
643,521.28,1236.52,0.76,ToBinary
485,555.13,1254.66,0.8,ToBinary
816,463.48,1339.25,0.63,ToBinary
218,668.59,1657.13,0.61,ToBinary
688,438.93,929.07,0.81,ToBinary
482,474.68,1021.91,0.83,ToBinary
644,487.87,1141.22,0.85,ToBinary
476,334.52,782.36,0.79,ToBinary
220,428.83,664.95,0.63,ToBinary
811,512.8,982.08,0.59,ToBinary
449,368.95,668.36,0.82,ToBinary
845,781.66,1784.85,0.56,ToBinary
280,722.74,1729.08,0.61,ToBinary
422,374.99,849.74,0.84,ToBinary
610,598.15,1411.99,0.76,ToBinary
274,309.98,622.53,0.62,ToBinary
628,345.4,825.5,0.75,ToBinary
842,676.49,1586.75,0.62,ToBinary
273,717.05,1747.02,0.63,ToBinary
617,350.62,820.44,0.76,ToBinary
425,229.1,447.41,0.8,ToBinary
889,353.31,685.93,0.84,ToBinary
287,460.77,1028.69,0.59,ToBinary
874,332.79,674.18,0.87,ToBinary
880,227.98,434.46,0.85,ToBinary
621,591.48,1353.64,0.75,ToBinary
413,274.54,899.02,0.84,ToBinary
245,539.47,1248.59,0.59,ToBinary
