File Name,Compression Throughput (mb/s),Decompression Throughput (mb/s),Compression Ratio,Method
151,65.99,79.16,0.76,GorillaRef
535,260.25,174.28,0.07,GorillaRef
707,66.7,84.77,0.73,GorillaRef
955,160.68,159.51,0.17,GorillaRef
169,47.39,50.3,0.85,GorillaRef
1035,177.59,115.56,0.16,GorillaRef
700,48.4,63.11,0.72,GorillaRef
532,253.49,181.96,0.07,GorillaRef
156,51.51,65.46,0.89,GorillaRef
364,145.66,131.75,0.17,GorillaRef
390,220.01,102.08,0.1,GorillaRef
686,39.71,22.54,0.73,GorillaRef
818,136.52,108.27,0.22,GorillaRef
216,149.67,92.75,0.21,GorillaRef
672,53.27,13.15,0.87,GorillaRef
440,131.54,78.91,0.3,GorillaRef
229,116.68,108.53,0.26,GorillaRef
827,280.4,103.97,0.22,GorillaRef
447,118.4,72.09,0.27,GorillaRef
675,45.29,45.69,0.89,GorillaRef
211,47.43,62.59,0.87,GorillaRef
681,60.03,56.46,0.79,GorillaRef
820,270.33,189.44,0.22,GorillaRef
478,124.5,71.0,0.27,GorillaRef
227,250.33,104.88,0.22,GorillaRef
829,139.16,126.25,0.21,GorillaRef
471,108.12,60.99,0.27,GorillaRef
643,45.22,8.83,0.77,GorillaRef
485,124.71,89.72,0.27,GorillaRef
816,177.25,38.77,0.21,GorillaRef
218,148.49,18.81,0.23,GorillaRef
688,48.94,56.06,0.75,GorillaRef
482,104.78,87.36,0.3,GorillaRef
644,25.05,42.08,0.83,GorillaRef
476,121.37,40.29,0.26,GorillaRef
220,28.54,32.85,0.25,GorillaRef
811,113.15,128.15,0.19,GorillaRef
449,149.72,29.37,0.3,GorillaRef
845,159.09,64.5,0.21,GorillaRef
280,84.24,64.92,0.23,GorillaRef
422,208.68,93.74,0.08,GorillaRef
610,122.76,45.27,0.05,GorillaRef
274,164.62,157.24,0.23,GorillaRef
628,274.03,189.12,0.06,GorillaRef
842,179.69,173.74,0.22,GorillaRef
273,131.22,146.58,0.29,GorillaRef
617,305.41,194.5,0.05,GorillaRef
425,138.82,129.04,0.27,GorillaRef
889,289.58,187.45,0.05,GorillaRef
287,173.44,168.6,0.21,GorillaRef
874,479.45,235.77,0.03,GorillaRef
880,320.75,197.19,0.04,GorillaRef
621,324.94,215.12,0.05,GorillaRef
413,134.25,16.76,0.12,GorillaRef
245,295.81,228.51,0.19,GorillaRef
887,252.47,36.01,0.07,GorillaRef
289,172.03,167.12,0.21,GorillaRef
619,268.3,179.97,0.06,GorillaRef
873,249.47,160.36,0.06,GorillaRef
242,101.88,176.2,0.23,GorillaRef
414,150.31,134.45,0.17,GorillaRef
626,113.96,28.95,0.06,GorillaRef
477,135.76,133.32,0.27,GorillaRef
645,65.82,81.86,0.73,GorillaRef
221,176.51,169.24,0.23,GorillaRef
483,19.22,112.61,0.29,GorillaRef
810,137.03,107.57,0.23,GorillaRef
448,127.04,114.39,0.28,GorillaRef
484,126.72,63.37,0.28,GorillaRef
828,116.75,176.11,0.21,GorillaRef
226,134.17,139.74,0.33,GorillaRef
642,72.39,77.34,0.7,GorillaRef
470,118.3,132.37,0.26,GorillaRef
689,79.37,89.89,0.69,GorillaRef
219,153.96,171.58,0.2,GorillaRef
817,106.87,165.71,0.22,GorillaRef
680,68.99,84.39,0.76,GorillaRef
674,34.94,27.09,0.86,GorillaRef
446,144.54,50.82,0.29,GorillaRef
210,66.41,31.07,0.79,GorillaRef
821,137.3,49.18,0.21,GorillaRef
479,146.21,45.51,0.27,GorillaRef
217,171.06,47.74,0.22,GorillaRef
819,38.55,9.11,0.19,GorillaRef
441,153.71,6.35,0.26,GorillaRef
673,65.03,68.53,0.74,GorillaRef
687,65.43,47.87,0.77,GorillaRef
826,22.98,99.84,0.21,GorillaRef
228,124.27,46.14,0.22,GorillaRef
618,443.02,59.89,0.03,GorillaRef
872,158.24,33.28,0.06,GorillaRef
288,169.48,65.01,0.21,GorillaRef
886,292.3,72.6,0.05,GorillaRef
243,165.27,8.49,0.24,GorillaRef
627,294.6,36.05,0.06,GorillaRef
415,150.94,53.39,0.21,GorillaRef
881,249.74,60.98,0.06,GorillaRef
875,233.91,50.21,0.07,GorillaRef
412,262.62,59.89,0.05,GorillaRef
620,280.84,6.57,0.07,GorillaRef
244,67.72,42.69,0.25,GorillaRef
629,275.28,35.38,0.06,GorillaRef
843,180.24,66.2,0.21,GorillaRef
286,103.61,62.09,0.27,GorillaRef
888,135.68,30.58,0.05,GorillaRef
272,128.01,59.37,0.23,GorillaRef
424,127.32,52.82,0.25,GorillaRef
616,266.41,60.65,0.07,GorillaRef
844,274.63,55.03,0.2,GorillaRef
611,276.59,180.86,0.07,GorillaRef
423,186.97,39.54,0.13,GorillaRef
275,173.43,150.15,0.22,GorillaRef
281,181.36,146.68,0.2,GorillaRef
257,167.65,140.84,0.24,GorillaRef
859,309.08,152.6,0.05,GorillaRef
401,178.78,135.44,0.16,GorillaRef
633,163.51,167.19,0.07,GorillaRef
866,251.68,143.95,0.04,GorillaRef
268,165.13,165.46,0.23,GorillaRef
892,279.35,73.84,0.05,GorillaRef
634,292.86,164.37,0.07,GorillaRef
406,196.05,142.71,0.11,GorillaRef
250,146.63,163.06,0.26,GorillaRef
895,246.2,165.31,0.07,GorillaRef
861,434.73,41.0,0.05,GorillaRef
439,162.61,138.99,0.27,GorillaRef
292,211.8,220.95,0.24,GorillaRef
868,222.09,148.88,0.06,GorillaRef
266,139.88,140.44,0.25,GorillaRef
602,311.67,204.48,0.06,GorillaRef
430,136.4,42.24,0.27,GorillaRef
259,136.93,145.49,0.25,GorillaRef
857,432.66,187.73,0.05,GorillaRef
437,122.14,130.99,0.29,GorillaRef
605,289.77,190.34,0.06,GorillaRef
261,146.19,154.43,0.29,GorillaRef
295,105.38,141.27,0.21,GorillaRef
850,266.36,24.61,0.05,GorillaRef
408,219.98,157.92,0.1,GorillaRef
804,181.59,173.29,0.19,GorillaRef
651,70.12,91.29,0.71,GorillaRef
463,135.41,134.27,0.27,GorillaRef
235,166.78,169.68,0.24,GorillaRef
497,140.54,133.9,0.27,GorillaRef
669,88.33,117.19,0.75,GorillaRef
803,193.4,220.24,0.21,GorillaRef
490,148.51,128.48,0.26,GorillaRef
232,150.71,153.7,0.28,GorillaRef
464,205.29,228.85,0.28,GorillaRef
656,89.03,78.39,0.73,GorillaRef
499,142.4,128.68,0.26,GorillaRef
835,85.93,22.02,0.22,GorillaRef
694,63.97,87.51,0.74,GorillaRef
452,171.65,245.38,0.26,GorillaRef
660,74.28,89.11,0.69,GorillaRef
204,39.24,52.99,0.75,GorillaRef
658,84.01,131.24,0.81,GorillaRef
832,143.6,146.43,0.21,GorillaRef
203,94.89,143.63,0.78,GorillaRef
667,68.31,76.35,0.73,GorillaRef
455,111.17,36.59,0.26,GorillaRef
693,47.97,70.71,0.85,GorillaRef
294,142.2,143.63,0.22,GorillaRef
604,287.47,194.24,0.06,GorillaRef
436,95.9,131.23,0.28,GorillaRef
260,101.04,117.41,0.3,GorillaRef
851,277.17,166.12,0.05,GorillaRef
409,166.66,135.66,0.14,GorillaRef
267,179.65,140.29,0.21,GorillaRef
869,339.22,254.79,0.06,GorillaRef
431,192.33,228.9,0.28,GorillaRef
603,280.44,189.89,0.06,GorillaRef
293,147.58,150.99,0.27,GorillaRef
856,281.11,174.22,0.05,GorillaRef
258,270.36,309.91,0.2,GorillaRef
407,126.43,100.75,0.21,GorillaRef
635,387.52,295.87,0.06,GorillaRef
251,197.26,233.11,0.22,GorillaRef
860,284.68,98.23,0.05,GorillaRef
438,83.26,116.77,0.27,GorillaRef
894,341.38,226.1,0.04,GorillaRef
858,285.56,189.26,0.06,GorillaRef
256,135.52,111.53,0.22,GorillaRef
632,292.87,95.31,0.06,GorillaRef
400,275.51,134.28,0.12,GorillaRef
893,179.75,83.57,0.07,GorillaRef
269,161.98,117.49,0.24,GorillaRef
867,58.62,82.07,0.05,GorillaRef
659,52.31,54.04,0.89,GorillaRef
833,7.18,113.27,0.22,GorillaRef
692,50.87,58.4,0.84,GorillaRef
202,57.52,48.38,0.84,GorillaRef
454,186.03,119.26,0.27,GorillaRef
666,50.88,22.24,0.85,GorillaRef
834,195.42,72.13,0.21,GorillaRef
498,92.41,91.84,0.29,GorillaRef
661,57.75,51.23,0.78,GorillaRef
453,193.37,125.42,0.27,GorillaRef
205,38.58,24.96,0.85,GorillaRef
695,57.84,32.22,0.85,GorillaRef
668,65.53,54.64,0.68,GorillaRef
802,95.25,90.07,0.21,GorillaRef
233,157.11,58.13,0.26,GorillaRef
657,48.43,50.32,0.75,GorillaRef
465,127.01,99.77,0.27,GorillaRef
491,164.09,77.52,0.26,GorillaRef
805,161.32,114.88,0.22,GorillaRef
496,109.92,99.67,0.28,GorillaRef
462,126.03,65.68,0.27,GorillaRef
650,68.23,50.68,0.69,GorillaRef
234,233.11,126.4,0.24,GorillaRef
346,184.88,88.96,0.12,GorillaRef
948,251.76,60.63,0.06,GorillaRef
174,30.15,53.01,0.86,GorillaRef
510,138.69,128.31,0.27,GorillaRef
722,77.6,91.04,0.73,GorillaRef
1028,258.31,121.59,0.17,GorillaRef
180,51.15,6.01,0.79,GorillaRef
977,185.0,103.68,0.14,GorillaRef
379,158.09,85.9,0.14,GorillaRef
983,176.55,85.53,0.15,GorillaRef
1017,193.3,95.5,0.12,GorillaRef
20,173.39,103.99,0.15,GorillaRef
187,58.45,53.5,0.75,GorillaRef
18,324.38,85.8,0.11,GorillaRef
725,64.67,64.34,0.7,GorillaRef
517,125.69,86.19,0.28,GorillaRef
173,60.69,49.58,0.75,GorillaRef
341,154.63,77.63,0.18,GorillaRef
27,175.78,56.72,0.12,GorillaRef
1010,172.74,103.58,0.16,GorillaRef
9,237.98,46.88,0.08,GorillaRef
984,167.97,97.7,0.16,GorillaRef
970,182.51,104.27,0.13,GorillaRef
528,98.54,85.21,0.27,GorillaRef
1019,213.02,147.7,0.17,GorillaRef
383,297.98,83.31,0.06,GorillaRef
979,70.37,51.78,0.15,GorillaRef
145,50.63,57.32,0.84,GorillaRef
377,57.61,89.41,0.12,GorillaRef
713,55.69,62.48,0.7,GorillaRef
521,48.94,84.5,0.28,GorillaRef
11,172.66,109.62,0.1,GorillaRef
1026,166.46,89.88,0.16,GorillaRef
348,73.55,84.91,0.21,GorillaRef
946,254.2,107.1,0.05,GorillaRef
526,94.46,84.86,0.3,GorillaRef
714,48.13,58.98,0.78,GorillaRef
370,220.16,94.54,0.1,GorillaRef
142,51.14,62.11,0.76,GorillaRef
384,174.01,93.67,0.1,GorillaRef
7,162.3,91.73,0.09,GorillaRef
29,32.89,105.2,0.1,GorillaRef
941,225.58,99.17,0.05,GorillaRef
519,101.4,6.57,0.27,GorillaRef
1021,207.48,77.32,0.12,GorillaRef
16,194.23,171.05,0.08,GorillaRef
189,59.23,57.27,0.86,GorillaRef
129,48.07,72.16,0.91,GorillaRef
915,280.81,181.69,0.05,GorillaRef
42,202.74,160.11,0.1,GorillaRef
740,77.18,87.64,0.69,GorillaRef
89,251.24,251.34,0.13,GorillaRef
572,186.35,58.94,0.08,GorillaRef
116,87.4,114.19,0.87,GorillaRef
324,135.25,47.6,0.24,GorillaRef
586,243.76,52.14,0.06,GorillaRef
45,96.59,27.95,0.12,GorillaRef
778,120.7,70.52,0.23,GorillaRef
912,260.76,29.86,0.05,GorillaRef
581,264.31,53.98,0.06,GorillaRef
323,198.82,40.48,0.07,GorillaRef
111,51.35,75.98,0.77,GorillaRef
575,227.77,12.19,0.08,GorillaRef
747,248.8,285.1,0.21,GorillaRef
1044,228.49,185.76,0.17,GorillaRef
588,662.51,384.36,0.03,GorillaRef
73,132.16,131.21,0.15,GorillaRef
118,53.35,90.31,0.87,GorillaRef
924,401.56,256.49,0.06,GorillaRef
87,215.56,174.49,0.13,GorillaRef
785,191.96,254.7,0.22,GorillaRef
543,333.32,228.6,0.06,GorillaRef
771,155.07,179.12,0.22,GorillaRef
315,128.75,136.3,0.21,GorillaRef
127,61.85,115.2,0.76,GorillaRef
80,256.97,84.3,0.06,GorillaRef
749,224.71,331.65,0.21,GorillaRef
923,396.16,265.73,0.07,GorillaRef
74,185.75,156.53,0.16,GorillaRef
1043,202.68,159.31,0.18,GorillaRef
